timestamp,open,high,low,close,volume,symbol
1502928000000,4261.48,4485.39,4200.74,4285.08,3454770.05073206,BTCUSDT
1503014400000,4285.08,4371.52,3938.77,4108.37,5086958.30617151,BTCUSDT
1503100800000,4108.37,4184.69,3850.0,4139.98,1549483.73542151,BTCUSDT
1503187200000,4120.98,4211.08,4032.62,4086.29,1930364.39032646,BTCUSDT
1503273600000,4069.13,4119.62,3911.79,4016.0,2797231.71402728,BTCUSDT
1503360000000,4016.0,4104.82,3400.0,4040.0,3752505.77214051,BTCUSDT
1503446400000,4040.0,4265.8,4013.89,4114.01,4148686.46581968,BTCUSDT
1503532800000,4147.0,4371.68,4085.01,4316.01,3296476.41316476,BTCUSDT
1503619200000,4316.01,4453.91,4247.48,4280.68,2484637.34936327,BTCUSDT
1503705600000,4280.71,4367.0,4212.41,4337.44,977865.7333321,BTCUSDT
1503792000000,4332.51,4400.0,4285.54,4310.01,1521580.06202557,BTCUSDT
1503878400000,4310.01,4399.82,4124.54,4386.69,2591660.52579953,BTCUSDT
1503964800000,4353.65,4625.85,4313.55,4587.48,2682483.73582991,BTCUSDT
1504051200000,4564.52,4647.51,4416.01,4555.14,3683714.68666123,BTCUSDT
1504137600000,4555.14,4745.42,4555.14,4724.89,2579878.72401184,BTCUSDT
1504224000000,4689.89,4885.55,4654.88,4834.91,2665165.55924616,BTCUSDT
1504310400000,4796.16,4939.19,4286.87,4472.14,4257723.944817,BTCUSDT
1504396800000,4508.5,4714.76,4298.33,4509.08,3121052.75230181,BTCUSDT
1504483200000,4505.0,4527.49,3972.51,4100.11,5909947.49008974,BTCUSDT
1504569600000,4106.97,4484.99,3603.0,4366.47,5083453.18675071,BTCUSDT
1504656000000,4366.49,4662.87,4335.26,4619.77,3626346.05544323,BTCUSDT
1504742400000,4619.77,4788.59,4438.19,4691.61,2305795.13638315,BTCUSDT
1504828800000,4691.66,4735.39,4028.93,4282.8,4866527.22639337,BTCUSDT
1504915200000,4282.8,4426.62,4150.06,4258.81,2815383.46568698,BTCUSDT
1505001600000,4258.81,4283.0,3801.0,4130.37,2700371.80819211,BTCUSDT
1505088000000,4153.62,4334.43,4098.91,4208.47,2956842.76250147,BTCUSDT
1505174400000,4208.6,4394.59,4040.8,4163.72,3725190.62328952,BTCUSDT
1505260800000,4159.72,4165.38,3760.0,3944.69,3570365.92571669,BTCUSDT
1505347200000,3944.0,3993.0,3165.13,3189.02,5914261.40460825,BTCUSDT
1505433600000,3188.01,3856.0,2817.0,3700.0,6588767.18669446,BTCUSDT
1505520000000,3674.01,3950.0,3470.66,3714.95,4804878.24721283,BTCUSDT
1505606400000,3685.23,3748.21,3499.02,3699.99,2466490.27859466,BTCUSDT
1505692800000,3690.0,4123.2,3690.0,4035.01,4069033.05715863,BTCUSDT
1505779200000,4060.0,4089.97,3830.91,3910.04,3558315.19743872,BTCUSDT
1505865600000,3910.04,4046.08,3820.0,3900.0,2839584.45308804,BTCUSDT
1505952000000,3889.99,3910.0,3567.0,3609.99,3757043.07821264,BTCUSDT
1506038400000,3592.84,3750.0,3505.55,3595.87,3031771.43292849,BTCUSDT
1506124800000,3595.88,3817.19,3542.91,3780.0,2799706.99951511,BTCUSDT
1506211200000,3779.54,3789.99,3622.76,3660.02,2445788.43620041,BTCUSDT
1506297600000,3660.02,3979.87,3653.69,3920.75,2784170.85318322,BTCUSDT
1506384000000,3928.0,3976.99,3850.05,3882.35,2061195.57868009,BTCUSDT
1506470400000,3882.36,4249.94,3872.81,4193.0,2554629.81447101,BTCUSDT
1506556800000,4192.11,4300.0,4101.0,4174.5,3553178.87037354,BTCUSDT
1506643200000,4178.98,4263.86,3952.01,4174.69,6571746.35900076,BTCUSDT
1506729600000,4175.0,4380.0,4138.1,4378.51,3088354.40084536,BTCUSDT
1506816000000,4378.49,4406.52,4240.04,4378.48,3137143.89184457,BTCUSDT
1506902400000,4400.0,4561.63,4360.0,4380.0,2905282.77570845,BTCUSDT
1506988800000,4380.0,4467.33,4180.8,4310.0,4627422.74283879,BTCUSDT
1507075200000,4314.9,4373.0,4142.0,4208.59,3676415.10054891,BTCUSDT
1507161600000,4208.59,4355.0,4110.0,4292.43,3295532.82397779,BTCUSDT
1507248000000,4318.99,4417.0,4292.0,4369.0,2212035.12414239,BTCUSDT
1507334400000,4369.0,4479.5,4312.56,4423.0,1302533.21459281,BTCUSDT
1507420800000,4425.0,4658.0,4425.0,4640.0,2347356.46944654,BTCUSDT
1507507200000,4640.0,4889.98,4550.0,4786.95,3040508.90436387,BTCUSDT
1507593600000,4786.95,4960.0,4680.59,4783.06,5044283.86347582,BTCUSDT
1507680000000,4783.06,4881.61,4710.0,4821.43,3609240.90903919,BTCUSDT
1507766400000,4821.43,5439.99,4810.16,5430.0,6659759.29119366,BTCUSDT
1507852800000,5439.99,5846.17,5379.84,5649.98,10597340.30104987,BTCUSDT
1507939200000,5650.0,5900.0,5580.01,5869.99,5533972.4859947,BTCUSDT
1508025600000,5855.03,5922.3,5400.01,5709.99,7553650.20132813,BTCUSDT
