timestamp,open,high,low,close,volume,symbol
1502928000000,301.13,312.18,298.0,302.0,2154655.3003566,ETHUSDT
1503014400000,302.0,311.79,283.94,293.96,2858946.5093539,ETHUSDT
1503100800000,293.31,299.9,278.0,290.91,620022.5898617,ETHUSDT
1503187200000,289.41,300.53,282.85,299.1,742847.8945599,ETHUSDT
1503273600000,299.1,346.52,294.6,323.29,1689472.341214,ETHUSDT
1503360000000,321.04,330.41,144.21,309.8,2454425.8033137,ETHUSDT
1503446400000,312.25,324.99,309.41,315.74,2753464.9450408,ETHUSDT
1503532800000,315.74,328.04,314.01,323.42,2159417.1141537,ETHUSDT
1503619200000,323.42,338.28,323.42,327.24,2354162.038294,ETHUSDT
1503705600000,327.24,335.44,323.41,330.79,1601994.3773166,ETHUSDT
1503792000000,332.18,348.13,330.73,348.13,1554477.3581603,ETHUSDT
1503878400000,348.11,351.0,331.95,346.0,1463758.1691041,ETHUSDT
1503964800000,347.0,377.6,346.0,374.7,1102069.6205809,ETHUSDT
1504051200000,374.7,393.71,362.05,385.93,1679526.2125115,ETHUSDT
1504137600000,384.64,389.36,377.78,384.79,1704441.3942666,ETHUSDT
1504224000000,386.44,394.39,383.18,388.46,1635227.6137661,ETHUSDT
1504310400000,388.58,394.32,320.08,343.14,2904008.4613861,ETHUSDT
1504396800000,343.56,367.28,320.08,341.77,1801702.6178029,ETHUSDT
1504483200000,339.29,344.55,267.94,283.77,2002446.181802,ETHUSDT
1504569600000,286.81,321.52,235.55,312.09,2397490.9178386,ETHUSDT
1504656000000,313.29,336.34,312.09,335.0,1793962.8584994,ETHUSDT
1504742400000,335.01,342.5,320.17,334.49,1027135.6869524,ETHUSDT
1504828800000,334.49,335.1,272.0,302.99,1494309.8866163,ETHUSDT
1504915200000,300.01,307.0,281.66,296.74,813750.3589359,ETHUSDT
1505001600000,296.72,302.78,261.03,293.5,1181903.7721999,ETHUSDT
1505088000000,293.51,304.98,285.21,297.3,1436811.8161569,ETHUSDT
1505174400000,297.78,316.46,286.01,293.96,1573452.4124519,ETHUSDT
1505260800000,293.93,294.5,257.05,276.91,1761080.8976069,ETHUSDT
1505347200000,275.76,283.77,215.0,215.21,3110767.7805647,ETHUSDT
1505433600000,217.0,270.93,192.0,253.0,3319311.826735,ETHUSDT
1505520000000,255.99,271.81,235.51,249.31,2647152.3723708,ETHUSDT
1505606400000,249.32,264.39,239.02,257.55,1149704.2949294,ETHUSDT
1505692800000,257.53,306.22,257.11,294.57,1182937.633574,ETHUSDT
1505779200000,296.0,300.0,277.41,284.0,535773.5652001,ETHUSDT
1505865600000,284.01,294.0,275.91,282.0,302739.7337531,ETHUSDT
1505952000000,285.1,287.0,252.1,257.0,516193.1970608,ETHUSDT
1506038400000,258.0,272.97,253.01,264.0,382962.217943,ETHUSDT
1506124800000,259.99,286.23,255.11,285.93,788810.3244239,ETHUSDT
1506211200000,286.5,294.61,275.0,282.0,1582877.4871329,ETHUSDT
1506297600000,282.0,299.0,281.34,294.42,1705551.9921018,ETHUSDT
1506384000000,294.42,296.81,286.24,287.9,1332125.1654396,ETHUSDT
1506470400000,289.91,313.0,286.13,309.74,1641896.8743651,ETHUSDT
1506556800000,309.81,311.81,296.89,302.44,2009233.8887105,ETHUSDT
1506643200000,302.44,303.0,274.0,292.22,3213725.0903979,ETHUSDT
1506729600000,292.62,307.49,292.22,304.36,1214456.8380462,ETHUSDT
1506816000000,305.13,306.0,294.0,303.95,1518988.30299,ETHUSDT
1506902400000,303.94,305.0,295.0,296.5,1116501.2248122,ETHUSDT
1506988800000,298.15,301.99,283.18,292.48,1622460.7267746,ETHUSDT
1507075200000,292.47,297.97,288.0,291.99,1176260.2171869,ETHUSDT
1507161600000,290.0,297.44,285.53,294.81,994768.4954065,ETHUSDT
1507248000000,294.78,310.8,293.78,310.8,1063779.3539251,ETHUSDT
1507334400000,309.9,318.5,303.6,311.01,672026.6685328,ETHUSDT
1507420800000,311.08,317.07,309.0,311.07,923989.787554,ETHUSDT
1507507200000,311.13,312.13,286.65,297.19,1462524.6249531,ETHUSDT
1507593600000,297.35,308.56,293.0,298.64,2028540.4729273,ETHUSDT
