order_id,symbol,side,timestamp_entry,timestamp_exit,entry_price,exit_price,qty,fee_usd,pnl_usd,source
crp_sol_1772551484,SOL,BUY,2026-03-03T15:24:44Z,2026-03-03T15:44:20Z,83.35,84.62,0.0,0.0,0.0,sim_orders
crp_ltc_1772552660,LTC,BUY,2026-03-03T15:44:20Z,2026-03-03T17:09:01Z,54.16,54.16,1.84638109,0.1,-0.1,sim_orders
crp_avax_1772552660,AVAX,BUY,2026-03-03T15:44:20Z,2026-03-03T17:09:01Z,9.08,9.08,11.01321586,0.1,-0.1,sim_orders
crp_avax_1772557741,AVAX,BUY,2026-03-03T17:09:01Z,2026-03-03T17:11:02Z,9.08,9.19,11.01321586,0.101211,1.110243,sim_orders
crp_ltc_1772557741,LTC,BUY,2026-03-03T17:09:01Z,2026-03-03T19:01:19Z,54.16,54.92,1.84638109,0.101403,1.301847,sim_orders
crp_avax_1772557862,AVAX,BUY,2026-03-03T17:11:02Z,2026-03-03T19:01:19Z,9.19,9.26,10.88139282,0.100762,0.660935,sim_orders
crp_eth_1772559481,ETH,BUY,2026-03-03T17:38:01Z,2026-03-03T19:01:19Z,1962.39,1988.57,0.0382187,0.076001,0.924565,sim_orders
crp_sol_1772559481,SOL,BUY,2026-03-03T17:38:01Z,2026-03-03T19:01:19Z,84.59,85.42,0.3098475,0.026467,0.230706,sim_orders
crp_sol_1772609784,SOL,BUY,2026-03-04T07:36:24Z,2026-03-04T07:54:47Z,86.22,87.12,0.63790304,0.055574,0.518539,sim_orders
crp_eth_1772609784,ETH,BUY,2026-03-04T07:36:24Z,2026-03-04T08:18:17Z,1987.31,2007.96,0.0276756,0.055571,0.51593,sim_orders
crp_sui_1772609784,SUI,BUY,2026-03-04T07:36:24Z,2026-03-04T08:18:17Z,0.906486,0.917378,60.67385486,0.055661,0.605199,sim_orders
crp_inj_1772609784,INJ,BUY,2026-03-04T07:36:24Z,2026-03-04T08:18:17Z,3.03,3.05,18.15181518,0.055363,0.307673,sim_orders
crp_btc_1772609784,BTC,BUY,2026-03-04T07:36:24Z,2026-03-04T08:18:17Z,68730.0,69372.0,0.00080023,0.055514,0.458234,sim_orders
crp_link_1772609784,LINK,BUY,2026-03-04T07:36:24Z,2026-03-04T08:18:17Z,8.81,8.93,3.36322361,0.030034,0.373553,sim_orders
crp_gala_1772612297,GALA,BUY,2026-03-04T08:18:17Z,2026-03-04T12:53:31Z,0.003553,0.003546,8443.9490661,0.029942,-0.08905,sim_orders
crp_bnb_1772612297,BNB,BUY,2026-03-04T08:18:17Z,2026-03-04T12:53:31Z,640.94,649.87,0.04680625,0.030418,0.387562,sim_orders
crp_bch_1772612297,BCH,BUY,2026-03-04T08:18:17Z,2026-03-04T12:53:31Z,452.52,456.69,0.06629541,0.030276,0.246176,sim_orders
crp_sol_1772612781,SOL,BUY,2026-03-04T08:26:21Z,2026-03-04T12:53:31Z,87.14,89.12,0.34427358,0.030682,0.65098,sim_orders
crp_arb_1772612781,ARB,BUY,2026-03-04T08:26:21Z,2026-03-04T12:53:31Z,0.10273,0.102864,292.02764528,0.030039,0.009093,sim_orders
crp_op_1772612781,OP,BUY,2026-03-04T08:26:21Z,2026-03-04T12:53:31Z,0.127035,0.128873,236.15539025,0.030434,0.40362,sim_orders
crp_fil_1772612781,FIL,BUY,2026-03-04T08:26:21Z,2026-03-04T12:53:31Z,1.007,1.009,29.79145978,0.03006,0.029523,sim_orders
crp_apt_1772612781,APT,BUY,2026-03-04T08:26:21Z,2026-03-04T12:53:31Z,0.99722,0.994868,30.0836325,0.029929,-0.100686,sim_orders
crp_uni_1772612781,UNI,BUY,2026-03-04T08:26:21Z,2026-03-04T12:53:31Z,3.94,3.94,7.6142132,0.03,-0.03,sim_orders
crp_btc_1772612781,BTC,BUY,2026-03-04T08:26:21Z,2026-03-04T12:53:31Z,69256.0,71113.0,0.00043318,0.030805,0.77361,sim_orders
crp_arb_1772628811,ARB,BUY,2026-03-04T12:53:31Z,2026-03-04T17:20:44Z,0.102864,0.104466,291.64722352,0.030467,0.436752,sim_orders
crp_op_1772628811,OP,BUY,2026-03-04T12:53:31Z,2026-03-04T17:20:44Z,0.128873,0.129401,232.78731775,0.030123,0.092789,sim_orders
crp_apt_1772628811,APT,BUY,2026-03-04T12:53:31Z,2026-03-04T17:20:44Z,0.994868,1.009,30.1547542,0.030426,0.395721,sim_orders
